benchmark,task_id,harness,model,score,passed,origin,source
Agents’ Last Exam,visual_media/video_storyboard_001,claude_code,claude-opus-4-8,1.0,,官方公开记录,research/ale/case1_video_storyboard_001_trace.json
Agents’ Last Exam,visual_media/music_transcription,openclaw,anthropic/claude-opus-4.7,0.2220804767923586,,官方公开记录,research/ale/case3_music_transcription_trace.json
Agents’ Last Exam,visual_media/chroma_key_from_reference,claude_code,claude-opus-4-8,0.5674291278881924,,官方公开记录,research/ale/case4_chroma_key_from_reference_trace.json
Agents’ Last Exam,other/aerobics_wc2026_portugal_trio_difficulty_scoring,Gemini CLI,gemini-3.1-pro-preview,1.0,True,官方公开运行,research/ale/expanded_cases/official_run_summaries.json
Agents’ Last Exam,visual_media/human_mesh_animation_reproduction,Codex,gpt-5.5,0.4391,False,官方公开运行,research/ale/expanded_cases/official_run_summaries.json
Agents’ Last Exam,visual_media/skeletal_animation_reproduction,Codex,gpt-5.5,0.4506,False,官方公开运行,research/ale/expanded_cases/official_run_summaries.json
Agents’ Last Exam,visual_media/butterfly_flap_animation,Claude Code,opus-4.7,1.0,True,官方公开运行,research/ale/expanded_cases/official_run_summaries.json
Agents’ Last Exam,visual_media/project_migration,Codex,gpt-5.5,0.0,False,官方公开运行,research/ale/expanded_cases/official_run_summaries.json
Agents’ Last Exam,engineering/humanoid_wbc_policy_evaluation,OpenClaw,glm-5.1,0.8375,False,官方公开运行,research/ale/expanded_cases/official_run_summaries.json
MMTB,multicam-active-speaker-cut,Codex 0.146.0,gpt-5.6-sol,0.8333,False,本地实测 · 不限时,research/mmtb/local_runs/multicam-active-speaker-cut/reward.json
MMTB,piano-practice-feedback,Codex 0.146.0,gpt-5.6-sol,0.8,True,本地实测 · 不限时,research/mmtb/local_runs/piano-practice-feedback/reward.json
MMTB,accessibility-sync-audit,Codex 0.146.0,gpt-5.6-sol,1.0,True,本地实测 · 不限时,research/mmtb/local_runs/accessibility-sync-audit/reward.json
MMTB,accessibility-sync-audit,Codex CLI,GPT-5.2,0.0,False,论文 Table 19,research/mmtb/paper_page_22.png
MMTB,accessibility-sync-audit,Terminus-MM,Gemini-3.1-Pro,1.0,True,论文 Table 19,research/mmtb/paper_page_22.png
